Special_Name,Old_Name,Parliament
Aaron Ago Dagang,Aaron Ago Dagang,Kanowit
Abd Latiff Ahmad,Abd Latiff Ahmad,Mersing
Abd Rahim Bakri,Abd Rahim Bakri,Kudat
Abdul Azeez Abdul Rahim,Abdul Azeez Abdul Rahim,Baling
Abdul Hadi Awang,Abdul Hadi Awang,Marang
Abdul Latiff Abdul Rahman,Abdul Latiff Abdul Rahman,Kuala Krai
Abdul Rahman Mohamad,Abdul Rahman Mohamad,Lipis
Abdullah Sani Abdul Hamid,Abdullah Sani Abdul Hamid,Kapar
Adham Baba,Adham Baba,Tenggara
Ahmad Masrizal Muhammad,Ahmad Masrizal Muhammad,Senator
Ahmad Amzad Mohamed @ Hashim,Ahmad Amzad Mohamed @ Hashim,Kuala Terengganu
Ahmad Fadhli Shaari,Ahmad Fadhli Shaari,Pasir Mas
Ahmad Fahmi Mohamed Fadzil,Ahmad Fahmi Mohamed Fadzil,Lembah Pantai
Ahmad Faizal Azumu,Ahmad Faizal Azumu,Tambun
Ahmad Haji Maslan,Ahmad Haji Maslan,Pontian
Ahmad Hamzah,Ahmad Haji Hamzah,Jasin
Ahmad Hassan,Ahmad Hassan,Papar
Ahmad Jazlan Yaakub,Ahmad Jazlan Yaakub,Machang
Ahmad Johnie Zawawi,Ahmad Johnie Zawawi,Igan
Ahmad Marzuk Shaary,Ahmad Marzuk Shaary,Pengkalan Chepa
Ahmad Nazlan Idris,Ahmad Nazlan Idris,Jerantut
Ahmad Tarmizi Sulaiman,Ahmad Tarmizi Sulaiman,Sik
Ahmad Zahid Hamidi,Ahmad Zahid Hamidi,Bagan Datuk
Akmal Nasrullah Mohd Nasir,Akmal Nasrullah Mohd Nasir,Johor Bahru
Alexander Nanta Linggi,Alexander Nanta Linggi,Kapit
Ali Biju,Ali Biju,Saratok
Alice Lau Kiong Yieng,Alice Lau Kiong Yieng,Lanang
Amiruddin Hamzah,Amiruddin Haji Hamzah,Kubang Pasu
Anifah Aman,Anifah Aman,Kimanis
Annuar Musa,Annuar Haji Musa,Ketereh
Anwar Ibrahim,Anwar Ibrahim,Port Dickson
Anyi Ngau,Anyi Ngau,Baram
Arthur Joseph Kurup,Arthur Joseph Kurup,Pensiangan
Awang Hashim,Awang Hashim,Pendang
Awang Husaini Sahari,Awang Husaini Sahari,Putatan
